Gender tags,Character(s) tags,Series tags,Rating tags,General tags,Qulity tags
"1girl,","amiya \(arknights\),","arknights,","safe,","solo,cowboy shot,smile,looking at viewer,","masterpiece,high score,great score,absurdres,year 2025,"
"2girls,","texas \(arknights\),lappland \(arknights\),","arknights,","safe,","shopping mall,indoor,cowboy shot,holding hands,front view,","masterpiece,high score,great score,absurdres,year 2025,"
"1girl,","exusiai \(arknights\),","arknights,","safe,","solo,cowboy shot,halo,front view,street,pedestrian street,holding cup,drinking,drinking straw in mouth,","masterpiece,high score,great score,absurdres,year 2025,"
